pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
59332,XX,nse_fo,OPTIDX,NIFTY,NIFTY26JAN30700PE,PE,NIFTY27JAN2630700.00PE,,26000,,,,,,5,65,1453991400,-1,2,3070000.0,NSE,OPTIDX,1453991400,1446163200,1453991400,1446163200,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1453939200.0,1453991400.0,,,,434625.0,Cash,,1,1,1801.0,65,0.0,492355.0,376895.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
65716,XX,nse_fo,OPTIDX,NIFTY,NIFTY25DEC26700PE,PE,NIFTY30DEC2526700.00PE,,26000,,,,,,5,75,1451572200,-1,2,2670000.0,NSE,OPTIDX,1451572200,1443744000,1451572200,1443744000,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1451520000.0,1451572200.0,,,,51060.0,Cash,,0,1,1801.0,75,104250.0,97985.0,4135.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
46281,XX,nse_fo,OPTIDX,NIFTY,NIFTY2611328150CE,CE,NIFTY13JAN2628150.00CE,,26000,,,,,,5,65,1452781800,-1,2,2815000.0,NSE,OPTIDX,1452781800,1449792000,1452781800,1449792000,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1452729600.0,1452781800.0,,,,780.0,Cash,,1,1,1801.0,65,0.0,2780.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
42233,XX,nse_fo,OPTIDX,NIFTY,NIFTY25D2322150CE,CE,NIFTY23DEC2522150.00CE,,26000,,,,,,5,75,1450967400,-1,2,2215000.0,NSE,OPTIDX,1450967400,1447977600,1450967400,1447977600,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1450915200.0,1450967400.0,,,,402600.0,Cash,,1,1,1801.0,75,0.0,460345.0,344855.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
45900,XX,nse_fo,OPTIDX,NIFTY,NIFTY26JUN38000CE,CE,NIFTY30JUN2638000.00CE,,26000,,,,,,5,75,1467297000,-1,2,3800000.0,NSE,OPTIDX,1467297000,1401840000,1467297000,1401840000,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1467297000.0,1467297000.0,,,,35.0,Cash,,1,1,1801.0,75,0.0,2035.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
65725,XX,nse_fo,OPTIDX,NIFTY,NIFTY25DEC26850CE,CE,NIFTY30DEC2526850.00CE,,26000,,,,,,5,75,1451572200,-1,2,2685000.0,NSE,OPTIDX,1451572200,1443744000,1451572200,1443744000,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1451520000.0,1451572200.0,,,,500.0,Cash,,0,1,1801.0,75,690825.0,7640.0,5.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
40149,XX,nse_fo,OPTIDX,NIFTY,NIFTY2610621450CE,CE,NIFTY06JAN2621450.00CE,,26000,,,,,,5,65,1452177000,-1,2,2145000.0,NSE,OPTIDX,1452177000,1449187200,1452177000,1449187200,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1452124800.0,1452177000.0,,,,477430.0,Cash,,1,1,1801.0,65,0.0,535170.0,419690.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
60896,XX,nse_fo,OPTIDX,NIFTY,NIFTY30JUN20000CE,CE,NIFTY25JUN3020000.00CE,,26000,,,,,,5,75,1593095400,-1,2,2000000.0,NSE,OPTIDX,1593095400,1435449600,1593095400,1435449600,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1593043200.0,1593095400.0,,,,1100320.0,Cash,,0,1,1801.0,75,0.0,1273390.0,927250.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
47197,XX,nse_fo,OPTIDX,NIFTY,NIFTY28JUN33000PE,PE,NIFTY27JUN2833000.00PE,,26000,,,,,,5,75,1530196200,-1,2,3300000.0,NSE,OPTIDX,1530196200,1396742400,1530196200,1396742400,0,0,0,0,0,,0,0,1450889677,,,,,,,,,,FO,,,,,,,1530196200.0,1530196200.0,,,,367420.0,Cash,,1,1,1801.0,75,0.0,622665.0,112175.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
46133,XX,nse_fo,OPTIDX,NIFTY,NIFTY2611325150CE,CE,NIFTY13JAN2625150.00CE,,26000,,,,,,5,65,1452781800,-1,2,2515000.0,NSE,OPTIDX,1452781800,1449792000,1452781800,1449792000,0,0,0,0,0,,0,0,1450889676,,,,,,,,,,FO,,,,,,,1452729600.0,1452781800.0,,,,115565.0,Cash,,0,1,1801.0,65,65.0,167475.0,63655.0,1,1,1,0,0,1,0,1000000000000.0,1,0,1801
